,,,,Measured Overhead,Queries per second
10000,1,10,187930000,187.93,53.2113020805619
10000,2,10,92677000,92.677,107.901636867831
10000,4,10,46175700,46.1757,216.564123554164
10000,8,10,23371500,23.3715,427.871552959801
10000,16,10,11683000,11.683,855.944534794145
10000,32,10,6809540,6.80954,1468.52797692649
10000,64,10,6432900,6.4329,1554.50885292792
10000,128,10,6504370,6.50437,1537.42791384869
10000,1,100,185968000,185.968,53.7726920760561
10000,2,100,92662300,92.6623,107.918754444904
10000,4,100,46236700,46.2367,216.278410872748
10000,8,100,23226600,23.2266,430.540845410004
10000,16,100,11526700,11.5267,867.550990309455
10000,32,100,6738620,6.73862,1483.98336751442
10000,64,100,5362640,5.36264,1864.75318126893
10000,128,100,5943290,5.94329,1682.56975513562
10000,1,1000,186073000,186.073,53.7423484331418
10000,2,1000,92677800,92.6778,107.900705454812
10000,4,1000,45875900,45.8759,217.979374791557
10000,8,1000,22991400,22.9914,434.945240394234
10000,16,1000,11656500,11.6565,857.890447389868
10000,32,1000,7074800,7.0748,1413.46751851642
10000,64,1000,5431070,5.43107,1841.25780002836
10000,128,1000,6097810,6.09781,1639.93302513525
10000,1,10000,186039000,186.039,53.7521702438736
10000,2,10000,92598000,92.598,107.993693168319
10000,4,10000,46328700,46.3287,215.848923021799
10000,8,10000,23364500,23.3645,427.999743200154
10000,16,10000,11666600,11.6666,857.147755130029
10000,32,10000,6395380,6.39538,1563.62874449994
10000,64,10000,5345550,5.34555,1870.71489369663
10000,128,10000,5658650,5.65865,1767.20595901849
